Момент;коррекция;скорость;Мощ. прибора; Мощ Вычисленная;
523,426574707031;-9,10000038146973;63,5323867797852;3482,8125;3482,4072265625;
269,017944335938;-9,10000038146973;146,167770385742;4026,81518554688;4117,7646484375;
67,1079483032227;-9,10000038146973;255,393508911133;2003,97766113281;1794,78503417969;
385,901031494141;-9,10000038146973;382,758270263672;15645,775390625;15467,8212890625;
593,715576171875;-9,10000038146973;518,652099609375;32088,71484375;32246,546875;
623,713684082031;-9,10000038146973;665,947998046875;42596,9375;43496,4921875;
461,580108642578;-9,10000038146973;787,585388183594;36333,8203125;38069,1640625;
167,003433227539;-9,10000038146973;887,530883789063;13142,0810546875;15521,63671875;
173,817413330078;-9,10000038146973;958,563720703125;19990,673828125;17447,888671875;
464,407043457031;-9,10000038146973;995,651428222656;50527,66796875;48421,109375;
611,507385253906;-9,10000038146973;994,96630859375;64950,890625;63714,5625;
577,197814941406;-9,10000038146973;957,453979492188;58135,140625;57872,36328125;
371,099090576172;-9,10000038146973;885,77685546875;34000,36328125;34422,53515625;
52,5133018493652;-9,10000038146973;785,112548828125;3724,42602539063;4317,4755859375;
282,545166015625;-9,10000038146973;663,335815429688;20054,48828125;19626,8203125;
